time, result 
098, 108.25 
0.9878109991550446, 132 
5.023046001791954, 122.75 
1.3233960010111332, 125.25 
0.8908270001411438, 132.75 
1.3642700016498566, 132 
0.695872999727726, 130 
0.567331001162529, 118.75 
1.1904279999434948, 103 
0.3985709995031357, 135.25 
0.46460000053048134, 128.25 
0.44620299711823463, 135 
0.6458259969949722, 128.5 
0.6869360022246838, 129.75 
0.8533740006387234, 115.75 
0.9839029982686043, 122 
0.48138100281357765, 112.5 
0.37557800114154816, 146 
0.4399840012192726, 123 
0.34334300085902214, 111.25 
1.254712000489235, 121 
0.6103530004620552, 119.25 
0.33038200065493584, 128.5 
0.350297998636961, 105 
0.3512349985539913, 132.75 
0.4313880018889904, 129.5 
0.4172950014472008, 130 
0.328234001994133, 102.25 
0.3449439965188503, 107.25 
0.33798399940133095, 129.5 
0.3242410011589527, 123.5 
0.638288002461195, 109.75 
0.33929000049829483, 140.25 
0.28661999851465225, 131 
0.28399499878287315, 129.5 
0.2898680008947849, 104.75 
0.29090799763798714, 115.5 
0.30461200326681137, 126 
0.3049600012600422, 122.5 
0.2935839965939522, 118.75 
0.29669300094246864, 111.25 
0.4380220025777817, 120.75 
0.2568509988486767, 122 
0.31290100142359734, 122.5 
0.2998180016875267, 125.25 
0.29108699783682823, 130.75 
0.3216019980609417, 112.25 
0.2905789986252785, 119.25 
0.5118519999086857, 116.5 
0.49057500064373016, 105.25 
